Kitap Adı,Kitap Açıklaması,Kategori
Sokak Köpeğim,"BİSİKLETİM Dünya dolandıkçaGüneşin etrafındaVe biz çocuklar yaşadıkçaKaygısız, korkusuz Dönecek tekerleklerimizDağları, tepeleri aşıpDiyar diyar dolaşıp Biz çocuklarCan katacağız doğayaAğaca, toprağaYudum yudum içtiğimiz suyaTertemiz yüreğimizdeNe benzin ne mazot kokusu Dönecek tekerleklerimizÖzgürlüğe,Göğün derin mavisiGüneşin sıcak şefkatiyle Dönecek tekerleklerimizTertemiz dünyalaraGüzel yarınlaraBarışla,Umutla,Sevgiyle dönecek...",Şiir
Otağ,"Bugün fizik bilimi başka bir alemde yalnızca şiirlerden müteşekkil bir dünyanın varlığını hayal etmeye imkan tanıyor. Bu gelişmeler ışığında dünyanın kadim mesleklerinden biri olan şairliğe de altarnatif tanımlar üretmemiz mümkün. Şair, şiir alemine yaptığı metafiziksel yolculuktan, içinde bulunduğumuz aleme döndüğünde aklında kalanları yazabilen ve gördüğünü tarif edebilen kişi olabilir. Bu şekilde şiir icad olarak sayılmaktansa keşif halini alır. Elinizdeki kitapta şairin hem bu alemde hem hayal aleminde gerçekleştirdiği yolculuklardan kalanlar bulunmaktadır. Okuduğunuz ve okuyacağınız şiirl",Şiir
Sun'ullah-ı Gaybi,"17.yüzyıl mutasavvıf şairi Gaybi. Türk tasavvuf edebiyatının en önemli temsilcilerinden biri olarak kabul edilmekle birlikte, yeni nesillerce pek tanınmadığı gibi, edebiyat tarihimizde de fazlaca incelenmemiştir.Bu küçük eserde, Gaybi'nin hayatı eserleri ve şiirlerinden seçmelerle tanıtılması amaçlanmıştır.Sun'ullah-ı Gaybi, şiirlerinde felsefi tasavvufun en girift konularını sade bir dil ve anlaşılır bir üslupla işlemektedir. Onun insan, varlık, marifet ve aşk gibi temel konulara ilişkin düşüncelerinde, Yunus, Mevlana, Hacı Bayram-ı Veli gibi Anadolu'da yetişen büyük ruhların izleri görülür.",Biyografi-Otobiyografi
Figaro’nun Düğünü veya Çılgın Gün (Karton Kapak),"Pierre Augustin Caron de Beaumarchais (1732-1799): Bir saatçinin oğlu olarak Paris’te dünyaya geldi. Saatçilik, öğretmenlik, tüccarlık, diplomatlık yaptı. Soyluluk unvanını satın aldıktan sonra İspanya’da yaşadı. Pek çok tiyatro oyunu yazdı. Eserleri yakıldı, yasaklandı ama halk, hatta eleştirdiği soylular tarafından bile alkışlandı. Tiyatro Yazarları Derneği’ni kurdu. Almanya’da Voltaire’in eserlerini bastı. Amerika’daki bağımsızlık mücadelesine silah ve gemi sağladı. Terör döneminde şüpheli addedildiği için Fransa’ya ancak ölümünden üç yıl önce dönebildi. Yazarın ününü borçlu olduğu üç büyük",Roman
İnsanca Yaşam,"“Güzel ve mutlu bir yaşamı sadece bilge insanlar sürmez yoksa yaşadığımız mutlulukları, gülen yüzümüzü ve sıradan gördüğümüz insanların yaşadıkları derin huzurun varlığını açıklayamayız. Önemli olan insani değerler temelinde yaşayabilmektir. İnanç-ahlak-etik-erdeme ve insani değerlere ait olan bilgi ve yaşamı yok sayarsanız, hayat bu öksüz ve yetim kalmanın bedelini insanlığa çok ağır ödetir. Haliyle hayat da insanların isteklerine ait hırsların çatıştığı ve üstünlük kurmaya dayalı düşünce ve davranışların yarıştığı bir arenaya dönüşür. Sevmeyi ve sevilmeyi öğrenen her insan müsterih olsun; ar",Deneme
Yangın Yeriydi Yurdum,"Yaşar Seyman, emeğin, onurun, hak savaşımının güler yüzü.Örgütlü toplum mücadelesinin başarılı sendikacısı.Ödüller kazanan bir yazın sevdalısı.Onu yaşamın önemli alanlarında yetkin kılan ise kişiliğinin özel örgüsü.İnsana ve doğaya akıl gözüyle yürek dolusu bakmak gerektiğini bilen, bildiğini işleyen, işlediğini sevgiyle sunan Yaşar Seyman yeni kitabı Yangın Yeriydi Yurdum’la bizim toprağımızda bize sarılıyor… Hepimize… Yüzümüzü güneşli güzel günler ışıtsın diye…Anadolu’yu geziyor Yaşar Seyman. Güzel insan yüzlerinde molalar veriyor. Öyküsü, şiiri, sözü, mücadelesi olan insanları tanıyor, sevi",Anı
İyi ki Varsınız,"Polisiye romanlarıyla tanınan Ercan Akbay, etkileyici ve derinlikli polisiye öyküleriyle, okurlarla buluşuyor...“Suadiye’nin arka sokaklarındaki mahalle çayevinde pencere kenarına oturmuş, gözetlediğim apartmanın ikinci katındaki ışıkların sönmesini bekliyorum. Hava soğuk, çiseleyen yağmur az önce durdu ama kalbimin çarpıntısı devam ediyor, öf keli heyecanım bir türlü dinmiyor. Hayatımın bir gerilim romanına dönüşmesi kişisel tercihim değil, böyle olmasını istemezdim. Yoksa şarap eşliğinde dizi izlediğim yemek sonrası keyfi yerine bu ucuz dekorlu f loresan kafede ne işim var, öyle değil mi?Kar",Polisiye
Nenem Babam ve Ben,"Yazarımız Diyarbakırlı bir eczacı. Ama öyle sıradan bir eczacı değil! Elinizde tuttuğunuz kitabın yazarı ve başrol oyuncusu. Kitaptaki karakterler içinde en çok ilgimi çeken, Kaçakçı Eyşe, Keçeci Eyşo, Hacı Anne diye anılan babaanne oldu. Sülale kalabalık. Yaşam öykülerinin her biri,başlı başına roman olacak zenginlikte. Ancak bizim buradaki başkahramanımız, kişisel gayretleriyle eczacılık kariyerinin zirvesine tırmanmayı başarmış bir meslektaşım:Eczacı Berat Beran",Biyografi-Otobiyografi
Ölü Çocuklar Ülkesi,ölü çocuklar ülkesindenmiş masalcılarçok şey bilirlermiş de sesleri kaybolurbir türlü anlatamazlarmışo ülkede oralarda olup bitenleri karanlık çökünce ovalara dağlarakaçarmış anneler çocuklarıölmesin diyeçünkü şehirlerde vurulurmuşölürmüş çocuklaron ikisinde de on dördünde dehatta dağları bombalarmışonların hızlı uçaklarıçocuklar kaçamazlarmışama dağılan kemikleri kanlarısıçrarmış ellerine yüzlerinesavaş yapıcılarınbir türlü temizleyemezlermiş kanlı ellerini,Şiir
The Snake Stone,"'Do you ever think about being born? No, I don't either.But what I do think is this - did my mother want me?’James' parents are proud of his talent and determination - he's in training for the Junior National Diving Championship. For James, diving is everything. Until he looks at the snake-stone and is drawn into thinking about his birth mother, and where she might be. He knows that to work out his future, he needs to make sense of his past.",Roman
Tarihte İz Bırakan Müslüman Kadınlar,"İslâm tarihinde meşhûr olmuş birçok âlim, fakih, müfessir, muhaddis, halife, sultan, edib ve şair birçok ricâl vardır. Bunların tarihçe-i hayatları hakkında çok önemli ve sağlam bilgilere sahibiz. Onların kıymetleri, yüksek dereceleri, misyonları, tarihî rolleri, hizmetleri, tarih kitaplarına geçmiş ve tarihe mal olmuştur. Bu değerli zevâtın biyografileri, tafsilatlı olarak bilindiği halde, bazı İslâm kadınlarının, tarihteki mevkileri, siretleri, rolleri, olumlu veya olumsuz hâlleri ve davranışları, çok kimsenin, nazar-ı dikkatini çekmediği için, lâyık-ı vechiyle anlatılamamışlar. Onların, bil",Biyografi-Otobiyografi
Tavan Arası,"Bazı eşyalarımız vardır, önce atmaya kıyamayıp tavan arasına kaldırırız da sonra unuturuz hayal meyal hatırladığımız ve işimize yarayacağına inandığımız bir şeyi aramak için, paslanmaya yüz tutmuş kilidini açarız tavan arasının ve uzun bir ömre ait bütün eski eşyalarımızı orada buluruz, güzel ve çirkin, neşeli ve üzgün… Hemen bir şey alıp çıkmak için girdiğimiz bu yarı aydınlık ve tozlu mekânda her neye el atsak, bizi gülümseyen bir çehre ile karşılar ve biz hiç farkına varmadan, dimağımıza uzak hatıraların lezzetini bırakarak zamanımızı hızla eleyip geçer. Birkaç zaman sonra ne aradığımızı ta",Deneme
Anlamı Yordum,"Ahenk, renk, orantılar; çatışan, dayanışan ne varsa konuşur ve koşturur.Çoban bu koşturmayı hissetme çabasında, yüreğinde sema ile yarışan bir gökyüzü bulur. Çıkınında sonsuzluk işareti, çiçek kokuları şehre girecek çoban.Araya varlığın meramını alıp,sarsılarak, şaşıracak ve bir son sığınak olarak kendini takip eden gökyüzüne bakacak.İki menzil arasında gerilecek ve bu ağrıyı hafifletmek için yazacak.Sözleri yaşayabilsin, gözlemleri kalplerde yankı bulsun diye, anlamı yorarak yazacak...Çoban Şehre Girende",Deneme
Yük,"Masum Yürekli Bir Kadın Firdevs Bir çaydanlık sıcak kakao, Yağlanmış ekmek üzerine serpilmiş şeker. Naif yumuşacık sesle okunan şiirler. Kar beyazı bir yüz, pembe yanaklar. Kendinden başka herkesin, Hüküm sürdüğü bir hayat. Gelgitler, acılar, teslimiyet. Kimsenin kirletemediği masum bir yürek. Parçalanmış anılar arasında, O kadını kaybettim. Çocukluğumun güzel yoldaşı...",Şiir
Profesör Portakal B1r Masal,"Afrika’daki bir üniversitenin duvarında şu sözler yazılıdır: “Eğer bir ülkeyi ortadan kaldırmak, yok etmek isterseniz topa, tüfeğe, atom bombasına, uzun menzilli füzelere gerek yoktur. Eğitimi etkisizleştirin. Kopya çekilmesine müsaade edin, bu yeterlidir.” Uzun yıllar kendini eğitime adamış, sonrasında da Milli Eğitim Müfettişliği yapmış bir öğretmenin acı tatlı hatıralarını okuyacaksınız. Acemilikler, kalp kırıklıkları, gülümseten anlar, çeşitli şehirlerdeki yolculuklar…Sevgiyle, umutla, şefkatle, ilgiyle öğrenime adanmış bir yaşamın parçalarını birleştirmek size kalmış.",Anı
Dinle Yavrum,"Dinle Yavrum,Çünkü sana iki kulak bir dil verildi. Dinlemek söylemekten öncedir. Önce dinle, sonra ne sözün varsa söyle. Dinle Yavrum!Çünkü dinlemek söz tohumunu toprakla, suyla ve güneşle buluşturmaktır. Söz emanettir, o emaneti çürütme. Can kulağıyla dinle!Çünkü sevenlerin her sözü gönülden çıkar. O sözlerini gönül kulağından başka kulak işitmez. Sen de can kesil öyle dinle. Dinle Yavrum!Hiçbir ses tıkalı bir kulağa yol bulamaz. O halde çağın bin bir tıkacıyla kirlenmiş kulağını temizle öyle dinle ! Dinle Yavrum!Sen yaşlısın, beni anlayamazsın diye düşünme!Çünkü senin önündeki yollar benim a",Deneme
Azınlıkta Kaldık,"Yeniden Sen, Umursama ve Azad Kitaplarının YazarındanAZINLIKTA KALDIKSiz hiç kitaplara sarılıp yazarın dizinde ağladınız mı,filmlerle şarkılarla avundunuz mu? Hayat, sizi de göktekikuşun yerinde olmak için ömrümden vazgeçerimdeme noktasına getirdi mi?Eğer olduysa bunlar,aramıza hoş geldiniz.",Deneme
Seyir (Ciltli),"Seyir eden misin, seyreden mi bu âlemde? Eksikliğin boş gözleriyle büyümüştü Mina...Küçük bir kızken bunu ilk fark ettiğinde, şaşırmıştı; olmayan her ne ise kalbinin orta yerinde, orada bir oyuk oluşturmuştu sanki.Bozuktu. Defoluydu. Büyüdü, genç bir kadın oldu ve bir karar verdi; “Madem eksiğim ben, bu eksikliği kapatacak olan malzeme başkalarında olmalı.Onların sözleri, onların ilgisi, onların tanımları, onların yorumları…”Aşklar da oldu yaşamında, kırgınlıklar, savruluşlar da... Kaybetti, ama yıkılmadı yeniden ayağa kalktı.Bir sergi açılışında Celal ile göz göze geldiği ilk an, bir tokat pa",Roman
"Mihail Frunze Anılar, Denemeler, Çağdaşların Makaleleri","Frunze'nin en önemli devlet adamlarına resmi ve karşılıklı ziyaretleri başlamıştı. Bir akşam Mustafa Kemal Paşa'nın kendisi de muhafızlar eşliğinde evimize geldi. Tıraşlı, iradeli bir yüzü olan uzun boylu, zayıf ama gözü kara bir adam gördük. Deri bir ceket giymişti ve kırmızımsı bir astragan şapkası takıyordu. Mihail Vasilyeviç onunla resepsiyon bölümünde bir araya geldi. Aralarında yarım saatlik bir konuşma gerçekleşti.Bu ziyaretten sonra, USSC ile yeni Türkiye arasında dostane bir antlaşma imzalanması konusunda Türklerle resmi görüşmelere başladık. Yerel gazeteciler bizi ziyaret etmeye başl",Biyografi-Otobiyografi
Çocuklukta Göç,"Çocuk sordu: “Göç ne demek anne?”Anne aldı gaz lambasını geldi:“Hadi bakalım oturun iki dizime.”Başladı ‘Göç Hikâyesi’ni anlatmaya:“Göç 14.yüzyılda yani 1300’lü yıllarınortalarında Osmanlı İmparatorluğu’nunBalkanlarda yeni yerler elde etmesisonucunda Osmanlıların ‘Şenlendirme’politikaları gereği Asya’dan Avrupa’yayani Anadolu’dan Balkanlara, Tuna Nehriboylarına göç eden konargöçer Türkmenlerinve Tatarların göçü ile başlar.”“Kuşlar gibi mi?” dedi çocuk heyecanla.“Dedelerimizin kimi hastalıktan, kimiyoksulluktan, kimi savaşta, Osmanlı-Rusharbinde vatan uğruna, kimi de göçyolunda veda etmiş evlat",Hikâye
Tanık,"Muzaffer Kahraman, toplum hayatı ve siyaset üzerine kaleme aldığı yazılarını bu kitapta bir araya getiriyor. Toplumsal yaşama, siyasî ve güncel konulara kendine özgü tarzıyla değinerek okurlarına yeni bakış açıları sunuyor… “Kutuplaşıyoruz (!) diyerek bu milleti ayrıştıranlar, esasen barışa kurşun sıkarak bu milleti kutuplaştıranlardır. Hep birlikte 2023 hedeflerine doğru yol aldığımız bu zor dönemde, kanımızda deli tayların koşturduğu doğrudur. Lakin bu ve benzeri bilinçli olarak çıkartılan fitnelere, ekstra anlam yüklemeye ve daha fazla içimizi burkmaya da gerek yoktur. Bilesiniz ki, Eski Tü",Deneme
حرب العوالم Dünyaların Savaşı (Arapça),تُرى من يسكن هذه العوالِم إذا كانت صالحة للسُّكنى؟ أنحن أسياد العالم أَم هُم؟ وكيف سُخِّرت الأشياء كلُّها من أجل الإنسان؟,Bilimkurgu-Fantazya
Nefha Şeyh Sadreddin Konevi Esintileri,"“Sessizliğin kapıları ve gözleri var. Bütün kapılardan geçmek istiyordu Hasan. Âlemlerin Efendisi, en şerefli insanın mührüyle, rızasıyla geçmek. Güle güle seve seve ölmek.Eşyanın da kendine mahsus bir bilgisi, arkası, muradı var. Güller kokuyor, “Mahbup Habib” tomurcuklanıyor. Sadreddin, Mevlâna, Muhyiddin rayihası yayılıyor.Bir arı, aşk kanıyla boyanmış, büyüleyici bir çiçeğe doğru, toz kanatlarıyla uçuyor. Hasan, vızz’ıldıyor....Haykırmak bağırmak çağırmak; toz hafifliği ve hürriyetiyle havaya suya toprağa karışmak istiyordum.Ruhumdan çağlayanlar, okyanuslar geçiyordu. Taşacak, köpürecek, z",Roman
Bir Narsistin Cinayet Günlüğü,"İNCİTEN, İNCİTTİĞİ YERDEN İNCİNİR!SİZ BİR NARSİSTE ÂŞIK OLDUNUZ MU?Öldürmek; sadece bıçakla, silahla kanla olmuyor; bazen bir bakışla, bir sözle de cinayet işlenebiliyordu. Bu cinayet hunharca ve zalimce işleniyordu. Verilen emekle, yapılan fedakârlıklarla, sevgiyle, yarım kalmışlıklarla insanın bedeni gibi duyguları öldürülüyordu. Bu cinayet silahsız işlenen ama insanın ömrü boyunca sol yanında acı çekmesine neden olan acıların bütünüydü...“Peki hocam, bir narsistle karşılaştığımızda ne yapmalıyız?” deyince, “Yapacağınız fazla bir şey yok. Hayatınızı mahveder, enerjinizi alır, sizi intihara k",Polisiye
Zambak ve Gölge,"Lorca’nın şiirinden küçük bir derleme.Voznesenski’nin dediği gibi, Lorca’yı hiç görmedik.Çok geç doğduk bunun için. Ama ona her günRastlıyoruz. Çünkü onun yüreğini tanıyoruz.İncinebilir, saydam, “ışınların titreştirdiği ipek gibi,Küçük çanların ince sesleri gibi.”Zambak ve Gölgeher gün rastladığımız bu ozanın, kimisi daha önceTürkçe söylenmiş şiirlerinden oluşuyor. OnlarıYeniden söylemek istedik. Tıpkı dilimize yerleşmişTürküleri zaman zaman söylemek ister gibi.Yeniden, yeniden söylemek, söyledikçe onlarıSesimize karıştırmak ister gibi.Zambak ve GölgeLorca’nın şiirine bakışımızda titreşim kaza",Şiir
Annem Sağ Olsun,"Dünyanın tüm kahrı ve tüm sevinci sanki annelerimizde buluşmuştur. Evlatları da onların yazgısına doğarlar. Bazen aştığımız, bazen kabullendiğimiz, bazen değiştirdiğimiz yazgı ortaklığıdır bizimkisi. Ve ilk yaradılış bilgimiz, annemizin kim olduğu bilgisi gün olur bizim kim olacağımızı belirler.Simavlı Halise Küçükkaya’nın bir mavi ışık gibi ansızın gözden kaybolup gidişinin ardından neredeyse bir yıl geçti.Anne kaybı, dünyanın ışığının kısıldığı, yoklukla sınandığımız, zeminsiz kaldığımız zamanlardır.İsmail Küçükkaya’nın ekranlardan yıllardır içten selamladığı ve ses verdiği “anne” çağrısının",Anı
Bizzat Yaşarken,"Çıplak vücudumuzdaki soğukluk gibi Çarpar gözlerin her uyanışında. Olsun Ben yine sana en anlamsız yerlerde Gizlice bakarım,",Şiir
Sus Yeri,"Sus Yeri, anlamdan yana tavır alan öykülerden kurulu bir kitap. Dokusu sıkı öyküler yazıyor Abdullah Yıldırım. Öykünün türü ister toplumcu ister fantastik olsun, öykü özde tematik bir meselenin soru edilişi ile var oluyor. Nedensellik bu anlamda tematik tercihlerin enstrümanı olarak kullanılıyor. İnsanları bu toprağın insanları, meseleler yanımızdan yöremizden meseleler ama bunların ele alınışı felsefi. İnsanın temel değerlerine dair sözler söylüyor öyküler ama öğretici ve uyarıcı bir tonda değil bu sözler, öyküden sızanlar olarak ulaşıyor okura. “Köpekbalıklarının olmadığı nehirdetimsahların",Hikâye
Klasik Bilimkurgu Öyküleri,"“İnsan aklının kapasitesi dahilindeki hiçbir icat, doğanın inşa ettiği engelleri yıkamazdı.” Klasik Bilimkurgu Öyküleri, iyi bilimkurgunun iyi edebiyata dönüşme yolundaki ilk durağı olan 19. yüzyıla uzanıyor. Öncü niteliğindeki bilimsel ve teknolojik icat öykülerinden medeniyete yabancılaşan modern kahraman anlatısına, ütopya ve distopya geleneğinin izlerinden bilimkurgu ve fantazyanın iç içe geçtiği kozmik dehşet türüne kadar genişleyen bir yelpazenin en değerli öyküleri buluşarak bu edebiyatın temel unsurlarını sergiliyor. Fitz-James O’Brien’ın yazdığı ve Lovecraft’ın en sevdiği öykülerden b",Bilimkurgu-Fantazya
